date,Volume,Close,High,%Deliverble
2022-09-01,3906934.8,1545.8477,1560.2194,0.59216636
2022-09-02,4114482.5,1548.909,1565.8129,0.5721551
2022-09-03,4650271.0,1577.514,1584.9004,0.56946063
2022-09-04,3982264.2,1594.6003,1598.7177,0.57035226
2022-09-05,3826839.5,1609.4387,1602.3046,0.61631215
2022-09-06,4747758.5,1604.1511,1601.5737,0.5709974
2022-09-07,3894879.2,1604.0569,1621.5385,0.57858527
2022-09-08,3052999.0,1618.3202,1626.6146,0.58253765
2022-09-09,3625269.0,1605.4937,1622.1157,0.5820254
2022-09-10,3635455.5,1603.359,1617.9036,0.5719156
2022-09-11,3722851.8,1598.5063,1616.9646,0.62591827
2022-09-12,3990351.5,1600.566,1609.1675,0.6312913
2022-09-13,4319883.0,1600.9841,1597.4133,0.6527895
2022-09-14,3789488.0,1586.8048,1594.3922,0.62173706
2022-09-15,4689822.0,1588.3389,1606.6311,0.64825827
2022-09-16,5075451.0,1591.032,1607.876,0.6424144
2022-09-17,4640900.0,1590.9353,1603.6608,0.628178
2022-09-18,4118702.5,1590.888,1598.4257,0.63643545
2022-09-19,4955715.5,1601.1572,1608.4325,0.5974065
2022-09-20,4311031.0,1584.051,1610.911,0.5821115
2022-09-21,3352714.5,1592.8093,1606.2828,0.62532234
2022-09-22,4433344.5,1572.5939,1605.4786,0.6219056
2022-09-23,4826718.5,1546.9777,1551.1917,0.5659181
2022-09-24,3855617.8,1512.0609,1543.897,0.6194226
2022-09-25,4687279.0,1499.4133,1545.544,0.6164446
2022-09-26,5235321.0,1527.8354,1545.6782,0.6105008
2022-09-27,4504406.5,1522.6742,1518.7474,0.6136543
2022-09-28,5672358.0,1494.1034,1487.0018,0.7113965
2022-09-29,7601931.5,1483.2256,1479.3447,0.62124175
2022-09-30,5930073.0,1489.9094,1485.5564,0.5837442
2022-10-01,3088521.8,1535.501,1554.3577,0.5749024
2022-10-02,3742370.0,1547.9323,1562.129,0.57130206
2022-10-03,3701763.5,1578.0364,1573.5154,0.58262706
2022-10-04,6631524.5,1582.1082,1583.8212,0.57059544
2022-10-05,6683570.5,1600.5138,1609.7493,0.62180275
2022-10-06,4803177.0,1616.6422,1624.6761,0.5897343
2022-10-07,3139038.0,1620.3755,1625.8896,0.5982804
2022-10-08,2999078.2,1618.2872,1618.67,0.56554705
2022-10-09,3720794.8,1594.8291,1616.5708,0.56453055
2022-10-10,4202695.0,1608.6846,1621.3156,0.55054563
2022-10-11,4222376.5,1603.8206,1613.2041,0.5885412
2022-10-12,4085760.2,1593.1614,1606.2692,0.6479166
2022-10-13,4055356.8,1601.5166,1613.9454,0.61554474
2022-10-14,4429567.0,1575.4795,1604.0131,0.6227927
2022-10-15,4198760.0,1583.313,1603.3467,0.6672589
2022-10-16,4549957.5,1591.5436,1603.8173,0.6458897
2022-10-17,2954764.5,1594.512,1606.0658,0.6343096
2022-10-18,4234835.0,1600.342,1611.4272,0.6196311
2022-10-19,4540361.0,1593.9148,1609.9658,0.58664334
